feature,ganancia
dif_pts_camp,14.345618438720702
dif_elo,14.168015289306641
fdr_dif,11.104667472839356
fdr_visita,10.482848739624023
dif_ppp_camp,10.368698501586914
dif_pos_tabla_camp,9.531831073760987
local_elo,5.459672737121582
dif_xg_u5,5.076277256011963
local_dg_camp,4.933359575271607
fdr_local,4.904987716674805
local_xg_u5,4.669666290283203
local_pts_u5,4.558196258544922
dif_xgc_u5,4.4312845230102536
local_corners_u3,4.353998184204102
local_xg_cond_u5,4.333066177368164
local_ppp_camp,4.320497703552246
visita_importancia_max,4.273863935470581
h2h_pts_visita,4.17512993812561
h2h_pts_local,4.168419694900512
visita_gf_u5_temp,4.097021675109863
local_xa_u3,4.064445877075196
local_xg_u3,3.8970478534698487
dif_pts_u5,3.886483573913574
visita_tiros_arco_conc_u5,3.871307849884033
local_pos_tabla_camp,3.8702704906463623
visita_xgc_u3,3.8648309230804445
local_elo_delta_u10,3.860775375366211
visita_tiros_conc_u5,3.8536327838897706
local_tiros_u3,3.8420373439788817
local_xgc_diff_u5,3.789354610443115
visita_ppp_camp,3.751792335510254
local_xgc_cond_u5,3.7455049991607665
local_xa_u5,3.73515944480896
local_gf_todo_u5,3.7274482250213623
visita_tiros_u5,3.7106451988220215
visita_pts_med_u5_temp,3.696647834777832
visita_xgc_cond_u5,3.660417604446411
visita_gf_todo_u5,3.626797914505005
dif_pts_todo_u5,3.6158931255340576
visita_pts_med_u3,3.5908123016357423
dif_copas_acumuladas,3.5888253688812255
local_xg_u5_temp,3.5694310665130615
visita_sorpresa_u10,3.5582547187805176
visita_xa_u5,3.542559862136841
visita_xa_u3,3.5423834323883057
local_gf_u5_temp,3.520615482330322
visita_gf_u5,3.5135827541351317
local_xgc_por_tiro_u5,3.5060198307037354
h2h_cond_gc_local,3.49913330078125
visita_pts_todo_u5,3.4855260372161867
visita_tiros_u3,3.4770633697509767
local_tiros_u5,3.47613320350647
visita_atajadas_u3,3.465914487838745
visita_tiros_arco_u3,3.459767246246338
local_pts_del_u3,3.4566335678100586
h2h_cond_pts_visita,3.450685214996338
local_xgc_u5_temp,3.4455523014068605
visita_pts_camp,3.4444016456604003
visita_gc_camp,3.438436508178711
local_prop_tiros_arco_conc_u5,3.4363100051879885
visita_pts_cond_u5,3.4208484649658204
local_elo_delta_u5,3.4084654808044434
visita_pts_def_u5_temp,3.4081705093383787
local_corners_u5,3.3957611083984376
local_pts_u5_temp,3.389036464691162
local_pts_med_u5_temp,3.371437406539917
h2h_cond_pts_local,3.3513081073760986
dif_racha,3.3503122329711914
visita_pts_del_u3,3.3480709552764893
visita_xg_diff_u5,3.34346981048584
visita_dg_camp,3.3422507286071776
visita_elo,3.335102891921997
local_gf_camp,3.3339064598083494
local_gf_u5,3.314892292022705
local_pts_camp,3.3105562210083006
visita_es_ascendido,3.309126138687134
visita_xgc_u5,3.3084463119506835
local_gf_cond_u5,3.300031566619873
visita_xgc_u5_temp,3.2829214096069337
visita_mins_hhi,3.2811560153961183
visita_elo_delta_u5,3.2787031173706054
local_gc_u5_temp,3.244041109085083
dif_dias_descanso,3.2426987171173094
local_dias_desde_ultimo_todo,3.2408632755279543
local_pts_def_u5_temp,3.2172977447509767
dif_gf_u5,3.2138179302215577
local_pts_arq_u5,3.2133657932281494
visita_faltas_u3,3.211949014663696
dif_elo_delta_u5,3.211351490020752
visita_pts_def_u5,3.203747510910034
visita_xg_u3,3.2028475284576414
dif_gc_u5,3.2022242546081543
local_tarjetas_u3,3.2006795406341553
local_atajadas_u5,3.1993786334991454
visita_corners_u3,3.199028825759888
local_tasa_atajadas_u5,3.198966360092163
