feature,ganancia
dif_pos_tabla_camp,11.383724784851074
dif_pts_camp,9.988021945953369
fdr_dif,9.650797653198243
fdr_visita,9.39063549041748
dif_ppp_camp,8.09531078338623
local_es_ascendido,5.076924514770508
fdr_local,4.74679479598999
dif_n_hist,4.3659592628479
local_xg_cond_u5,4.200627946853638
local_pos_tabla_camp,4.025716161727905
visita_tiros_u3,3.7125235080718992
visita_xgc_u3,3.6382823944091798
dif_pts_u5,3.6210038661956787
dif_pts_med_u5,3.550329875946045
h2h_pts_visita,3.5178555488586425
local_xg_u5,3.4506232738494873
local_corners_u5,3.3363553524017333
local_dg_camp,3.3291890144348146
dif_xgc_u5,3.315866470336914
local_tiros_u5,3.3046054363250734
visita_tiros_u5,3.250974941253662
local_corners_u3,3.2509650230407714
local_dias_descanso,3.1176236152648924
visita_tiros_arco_u3,3.0716187000274657
visita_es_ascendido,3.066202163696289
visita_xa_u5,3.0598142623901365
visita_xgc_u5_temp,3.0511602401733398
local_ppp_camp,3.039221096038818
local_tiros_u3,3.0302188873291014
visita_pts_u3,3.016013264656067
local_xa_u3,2.983401918411255
visita_gf_u5_temp,2.9825790882110597
h2h_gc_local,2.965426301956177
visita_dg_camp,2.9184563159942627
local_xg_u5_temp,2.900189161300659
local_pts_u5,2.8999587059020997
dif_pts_def_u5,2.878857374191284
dif_gc_u5,2.8276265621185304
visita_pos_tabla_camp,2.817945051193237
local_tiros_arco_u5,2.8174388885498045
visita_xg_cond_u5,2.8127534866333006
local_gc_u5,2.8105094909667967
visita_gf_u5,2.8028655529022215
visita_pts_def_u5,2.7996780395507814
visita_pts_med_u3,2.783720541000366
local_tiros_arco_u3,2.770684337615967
visita_gf_u3,2.762839126586914
visita_xgc_u5,2.7530734539031982
visita_tiros_arco_u5,2.7522591590881347
local_xg_u3,2.750388193130493
h2h_pts_local,2.7499440193176268
visita_pts_med_u5_temp,2.740981912612915
dif_dias_descanso,2.7339354515075684
visita_xg_u3,2.730918550491333
local_pts_def_u5_temp,2.7263792514801026
visita_gc_cond_u5,2.708102750778198
visita_ppp_camp,2.705461311340332
local_pts_cond_u5,2.6951332569122313
dif_gf_u5,2.6902767181396485
visita_pts_arq_u5,2.678680896759033
local_xgc_cond_u5,2.678049325942993
local_tiros_arco_u5_temp,2.6750975608825684
visita_xgc_cond_u5,2.658384323120117
local_faltas_u5,2.655950164794922
visita_pts_del_u5,2.6542505741119387
local_faltas_u3,2.636115837097168
visita_pts_u5_temp,2.6353781700134276
visita_pts_med_u5,2.6281967639923094
local_xa_u5,2.626260280609131
visita_tiros_arco_u5_temp,2.62546854019165
visita_dias_descanso,2.624170255661011
local_pts_u5_temp,2.6216259002685547
local_pts_def_u3,2.6186580657958984
local_pts_del_u5,2.6164939403533936
local_dg_cond_u5,2.6129050731658934
local_pts_arq_u3,2.603499746322632
local_pts_med_u3,2.594997262954712
visita_gc_u5_temp,2.5889111280441286
local_gc_u5_temp,2.581159067153931
visita_pj_camp,2.575815963745117
local_pts_def_u5,2.573860836029053
visita_mins_hhi,2.5646416187286376
local_pts_arq_u5,2.562405586242676
dif_xg_u5,2.5555641651153564
local_gf_cond_u5,2.550357532501221
local_pts_camp,2.5484468936920166
local_gf_u5_temp,2.545499324798584
visita_n_hist,2.544089126586914
local_xgc_u3,2.5271458625793457
local_pts_del_u3,2.5256890296936034
visita_corners_u3,2.5231762886047364
local_mins_hhi,2.508894157409668
visita_tarjetas_u5,2.5030848503112795
visita_pts_def_u5_temp,2.4997355937957764
visita_faltas_u5,2.4955427169799806
gameweek,2.494188976287842
local_gf_camp,2.4893704652786255
local_pts_u3,2.47538275718689
h2h_cond_pts_visita,2.469553279876709
visita_xg_u5_temp,2.468057155609131
visita_gf_cond_u5,2.462180233001709
local_pts_med_u5_temp,2.4581958293914794
visita_pts_cond_u5,2.448281669616699
local_gf_u5,2.4460180759429933
h2h_cond_gc_local,2.4361990451812745
visita_gc_camp,2.430733060836792
visita_n_jugadores_u5,2.4191195487976076
visita_faltas_u3,2.4135487556457518
local_tarjetas_u3,2.4086835384368896
local_continuidad_plantel_u5,2.405104160308838
local_xgc_u5,2.388200283050537
local_pts_med_u5,2.379106950759888
local_pj_camp,2.3707976818084715
visita_xa_u3,2.365695571899414
local_tarjetas_u5,2.3645352840423586
visita_gc_u3,2.3516704559326174
visita_pts_arq_u3,2.3453320980072023
visita_corners_u5,2.334014129638672
visita_continuidad_plantel_u5,2.3332239627838134
local_gc_cond_u5,2.3304537534713745
visita_pts_def_u3,2.320124864578247
local_xgc_u5_temp,2.3137659072875976
local_gc_camp,2.289693570137024
h2h_cond_pts_local,2.2795804738998413
visita_tarjetas_u3,2.2675267696380614
visita_dg_cond_u5,2.2645337104797365
visita_pts_camp,2.2617769479751586
visita_n_jugadores_u3,2.2442468404769897
local_n_hist,2.2380606889724732
visita_pts_del_u3,2.233810806274414
local_n_jugadores_u3,2.2279519557952883
h2h_gf_local,2.223730039596558
visita_gf_camp,2.202084541320801
local_gf_u3,2.1949913024902346
local_n_jugadores_u5,2.1942821025848387
h2h_cond_gf_local,2.1938905239105226
visita_xg_u5,2.169326996803284
h2h_n,1.9652303457260132
visita_pts_u5,1.9501978397369384
local_gc_u3,1.8604613542556763
visita_gc_u5,1.449160671234131
h2h_cond_n,1.1491759777069093
