feature,ganancia
dif_elo,14.53214225769043
dif_pts_camp,12.284235763549805
fdr_dif,11.263706398010253
dif_ppp_camp,10.787601470947266
fdr_visita,10.66479206085205
dif_pos_tabla_camp,7.8354771614074705
fdr_local,6.008132791519165
local_elo,5.629210519790649
dif_xg_u5,5.559880781173706
local_pts_u5,4.785934019088745
local_xg_u5,4.560088634490967
local_xg_cond_u5,4.454370307922363
local_ppp_camp,4.33871021270752
local_pos_tabla_camp,4.30841965675354
dif_xgc_u5,4.207301092147827
local_dg_camp,4.185425519943237
local_corners_u3,4.1773786544799805
visita_gf_u5_temp,4.117227697372437
local_pts_u5_temp,4.025825119018554
local_xa_u3,3.8789688110351563
local_elo_delta_u10,3.8537415504455566
visita_tiros_arco_conc_u5,3.8409551620483398
visita_xgc_u3,3.804215145111084
local_xg_u5_temp,3.761792230606079
local_xa_u5,3.7590174198150637
visita_tiros_conc_u5,3.7235685348510743
local_xg_u3,3.7142120838165282
visita_elo,3.7131157398223875
visita_tiros_u5,3.705090856552124
local_xgc_cond_u5,3.704816293716431
visita_gf_u5,3.6797414779663087
h2h_pts_visita,3.6665017127990724
local_corners_u5,3.6642761707305906
visita_xgc_u5,3.619047689437866
visita_sorpresa_u10,3.5999587059020994
local_tiros_u3,3.5827452182769775
visita_pts_med_u5_temp,3.568501853942871
local_gf_cond_u5,3.5544180393218996
local_xgc_diff_u5,3.545457696914673
visita_xgc_cond_u5,3.5277482986450197
visita_tiros_arco_u3,3.499254560470581
local_pts_del_u3,3.498148488998413
local_pts_camp,3.493705940246582
h2h_pts_local,3.485186290740967
dif_gf_u5,3.4824168205261232
visita_pts_def_u5,3.4598381996154783
local_gf_u5_temp,3.4564987659454345
visita_xg_diff_u5,3.444775629043579
local_gc_cond_u5,3.4414429664611816
h2h_cond_gc_local,3.437307071685791
visita_es_ascendido,3.424902629852295
visita_xa_u5,3.404604959487915
local_tarjetas_u3,3.39710054397583
visita_dg_camp,3.39600510597229
visita_faltas_u3,3.3949888706207276
visita_pts_del_u3,3.389860486984253
dif_dias_descanso,3.365701198577881
local_xgc_por_tiro_u5,3.3617335319519044
local_pts_med_u3,3.344236373901367
dif_gc_u5,3.3332448959350587
visita_pts_med_u3,3.3275580406188965
visita_partidos_14d,3.319531536102295
local_tiros_arco_u3,3.316580057144165
local_elo_delta_u5,3.312034511566162
local_xgc_u5_temp,3.309214448928833
local_pts_def_u5_temp,3.3021570205688477
local_prop_tiros_arco_conc_u5,3.2824445724487306
local_continuidad_plantel_u5,3.281779384613037
visita_xgc_u5_temp,3.2555208683013914
visita_pts_def_u3,3.245139312744141
local_gf_u5,3.2381890296936033
visita_elo_delta_u5,3.2231023788452147
local_pts_del_u5,3.22253623008728
visita_sorpresa_u5,3.2206289768218994
dif_sorpresa_u10,3.212062692642212
local_tiros_u5,3.208654499053955
h2h_gc_local,3.2047555923461912
local_xgc_u5,3.2033634185791016
local_xgc_u3,3.159843158721924
visita_pos_tabla_camp,3.159674644470215
local_dias_descanso,3.156873941421509
visita_tiros_u3,3.156627082824707
local_pts_def_u3,3.1560998439788817
visita_pts_med_u5,3.1415288925170897
local_pj_camp,3.1398515701293945
dif_pts_u5,3.136273717880249
visita_xg_u3,3.129707622528076
visita_gc_cond_u5,3.1215765476226807
visita_pts_def_u5_temp,3.1111668586730956
h2h_cond_pts_local,3.106536340713501
local_tiros_arco_u5,3.10227427482605
local_pts_def_u5,3.087168550491333
visita_pts_arq_u5,3.084149789810181
local_tiros_arco_u5_temp,3.077837371826172
local_gc_u5_temp,3.069585990905762
visita_xg_cond_u5,3.066143751144409
dif_racha,3.0648710250854494
local_pts_med_u5_temp,3.0634605884552
visita_pts_cond_u5,3.0512253522872923
visita_tarjetas_u5,3.048467588424683
visita_gc_u3,3.0439674854278564
local_pts_med_u5,3.0433677196502686
visita_continuidad_plantel_u5,3.031624364852905
local_xg_por_tiro_u5,3.0254987716674804
visita_prop_tiros_arco_conc_u5,3.0240849018096925
local_tiros_conc_u5,3.023862028121948
visita_xgc_diff_u5,3.0146414279937743
dif_pts_med_u5,3.012021780014038
local_pts_arq_u3,3.008560037612915
visita_mins_hhi,3.0072164058685305
local_faltas_u3,3.0068013191223146
h2h_cond_pts_visita,3.0048858642578127
visita_ppp_camp,3.0032944679260254
visita_pts_del_u5,3.0026010990142824
local_n_jugadores_u5,3.001086616516113
visita_gf_cond_u5,2.9984524726867674
visita_tiros_arco_u5_temp,2.9959713935852053
visita_dias_descanso,2.984928750991821
visita_elo_delta_u10,2.9748011589050294
local_gf_camp,2.9712228298187258
visita_corners_u3,2.9700574398040773
dif_elo_delta_u5,2.969712162017822
local_tiros_arco_conc_u5,2.9587129592895507
visita_corners_u5,2.9546561241149902
visita_xg_por_tiro_u5,2.949380350112915
visita_xa_u3,2.935112714767456
local_racha,2.927637243270874
visita_gf_camp,2.9267341613769533
local_mins_hhi,2.9248440265655518
visita_n_hist,2.9128231048583983
visita_n_jugadores_u5,2.891856050491333
local_n_jugadores_u3,2.8758841037750242
gameweek,2.874445343017578
local_pts_arq_u5,2.871219205856323
h2h_gf_local,2.86616587638855
visita_xgc_por_tiro_u5,2.8566446781158445
visita_gc_u5,2.8510419845581056
local_partidos_21d,2.837688446044922
visita_pts_camp,2.835445261001587
local_prop_tiros_arco_u5,2.82813982963562
dif_xg_por_tiro_u5,2.8241270065307615
local_gc_u5,2.8219886779785157
local_faltas_u5,2.8155019998550417
h2h_cond_gf_local,2.7973775386810305
visita_xg_u5_temp,2.7913107872009277
visita_tarjetas_u3,2.789123272895813
visita_gf_u3,2.775736093521118
visita_n_jugadores_u3,2.761928367614746
local_gc_u3,2.729435443878174
visita_gc_u5_temp,2.7263633251190185
visita_prop_tiros_arco_u5,2.7182547569274904
local_elo_delta_u3,2.717871332168579
local_dg_cond_u5,2.717494344711304
visita_racha,2.7170254707336428
local_sorpresa_u5,2.696515989303589
local_xg_diff_u5,2.6951643943786623
visita_pts_arq_u3,2.670661211013794
local_pts_u3,2.6214859008789064
visita_xg_u5,2.6106406927108763
visita_tiros_arco_u5,2.5947540760040284
visita_partidos_21d,2.5883662700653076
visita_gc_camp,2.582555389404297
visita_elo_delta_u3,2.5682329177856444
local_sorpresa_u10,2.5603962898254395
dif_pts_def_u5,2.543583059310913
visita_pj_camp,2.5307798385620117
dif_n_hist,2.5055416584014893
local_tarjetas_u5,2.4885512828826903
local_gc_camp,2.4620447158813477
local_pts_cond_u5,2.4613708019256593
visita_pts_u3,2.419708251953125
visita_pts_u5,2.3976336479187013
local_partidos_7d,2.366621732711792
visita_faltas_u5,2.3537796258926393
visita_dg_cond_u5,2.3315834522247316
local_es_ascendido,2.297798204421997
local_n_hist,2.220389652252197
visita_pts_u5_temp,2.023397207260132
local_partidos_14d,2.0129481315612794
visita_partidos_7d,1.9879883050918579
local_gf_u3,1.8420970439910889
h2h_cond_n,1.1324545860290527
h2h_n,1.1011448621749877
