feature,ganancia
dif_elo,15.004025840759278
dif_pts_camp,14.325277137756348
dif_ppp_camp,11.838008880615234
fdr_dif,11.179982948303223
fdr_visita,8.350886917114257
dif_pos_tabla_camp,8.02160291671753
local_elo,5.643952751159668
fdr_local,4.655246925354004
local_xg_cond_u5,4.465184211730957
local_xg_u5,4.435012531280518
local_pts_u5,4.43194546699524
dif_xg_u5,4.353388690948487
local_xa_u3,4.254844760894775
local_corners_u3,4.192776775360107
h2h_pts_visita,4.183570766448975
dif_xgc_u5,4.167303514480591
local_pts_u5_temp,4.137303400039673
local_pos_tabla_camp,3.9965977668762207
local_dg_camp,3.9888648986816406
local_elo_delta_u10,3.960718059539795
local_ppp_camp,3.930060338973999
visita_gf_u5_temp,3.8433372497558596
local_xg_u3,3.805552768707275
visita_xgc_u3,3.7679327011108397
local_xgc_cond_u5,3.7635948181152346
local_tiros_u3,3.7620223999023437
visita_gf_u5,3.747741460800171
local_gf_u5_temp,3.7294397354125977
local_xa_u5,3.7019767284393312
visita_tiros_u5,3.7012582778930665
local_xgc_diff_u5,3.6981483936309814
visita_tiros_arco_conc_u5,3.6731429576873778
local_xg_u5_temp,3.671835708618164
visita_tiros_conc_u5,3.65242657661438
visita_elo,3.5960686683654783
h2h_pts_local,3.592502546310425
local_pts_del_u3,3.534167528152466
local_gc_u5,3.5217880725860597
local_tiros_u5,3.512479543685913
local_corners_u5,3.5054173469543457
visita_pts_med_u5_temp,3.493985176086426
visita_pts_med_u5,3.486776065826416
visita_sorpresa_u10,3.484160566329956
visita_tiros_arco_u3,3.4588175773620606
h2h_cond_gc_local,3.446337175369263
dif_dias_descanso,3.419513463973999
local_xgc_u5_temp,3.409659242630005
local_elo_delta_u5,3.4053081035614015
local_tiros_arco_u3,3.392687511444092
visita_xg_diff_u5,3.384333038330078
visita_pts_del_u3,3.3797418594360353
visita_pts_med_u3,3.3795366287231445
visita_xa_u5,3.375191354751587
visita_xgc_cond_u5,3.353972911834717
visita_xa_u3,3.353926181793213
visita_pts_def_u5,3.336136245727539
visita_tiros_u3,3.3338816165924072
local_pts_camp,3.323700952529907
visita_xg_u3,3.3003973960876465
dif_gc_u5,3.2988328456878664
visita_xgc_u5,3.293305826187134
dif_sorpresa_u10,3.269993448257446
visita_elo_delta_u5,3.26349081993103
visita_xgc_u5_temp,3.2395201206207274
visita_faltas_u3,3.2363511085510255
local_tiros_conc_u5,3.2301616191864015
visita_partidos_14d,3.2294562816619874
visita_es_ascendido,3.222655439376831
local_gc_cond_u5,3.219784688949585
visita_mins_hhi,3.217529821395874
local_pts_del_u5,3.2098249912261965
local_tarjetas_u3,3.196447229385376
dif_elo_delta_u5,3.190764284133911
dif_pts_med_u5,3.187677764892578
visita_tarjetas_u3,3.182617521286011
visita_ppp_camp,3.181148815155029
local_continuidad_plantel_u5,3.180883502960205
local_pts_def_u3,3.1661283493041994
visita_pts_def_u3,3.1595222473144533
dif_gf_u5,3.1593533515930177
local_es_ascendido,3.1502420902252197
local_pts_med_u5_temp,3.1332836151123047
local_pj_camp,3.1312775135040285
dif_pts_u5,3.126188135147095
local_xgc_u3,3.1228926181793213
h2h_cond_pts_visita,3.112655019760132
local_gf_u5,3.0828338384628298
visita_pts_u5,3.075478935241699
local_pts_med_u3,3.0684484958648683
local_xgc_u5,3.062864589691162
visita_gc_cond_u5,3.058442735671997
local_dg_cond_u5,3.0555419445037844
h2h_gc_local,3.054425764083862
visita_dg_camp,3.0450037479400636
local_gf_camp,3.0392455101013183
visita_pts_arq_u5,3.030171012878418
local_dias_descanso,3.024454641342163
local_pts_cond_u5,3.0224001884460447
visita_gf_camp,3.021604585647583
dif_racha,3.01009316444397
local_gf_cond_u5,3.006407356262207
local_n_jugadores_u3,2.9931051254272463
local_gc_camp,2.9911978244781494
visita_sorpresa_u5,2.9826990604400634
visita_n_hist,2.9780407905578614
visita_pos_tabla_camp,2.97666277885437
local_pts_def_u5_temp,2.9737048625946043
visita_corners_u5,2.969058322906494
local_faltas_u3,2.9592206954956053
visita_xg_cond_u5,2.9587002754211427
local_tiros_arco_u5,2.9399256706237793
visita_xg_u5_temp,2.9366905212402346
local_n_hist,2.92163290977478
local_pts_arq_u3,2.9043120384216308
dif_pts_def_u5,2.9031411170959474
visita_corners_u3,2.898218774795532
visita_pts_def_u5_temp,2.8907216072082518
visita_pts_arq_u3,2.884778594970703
visita_continuidad_plantel_u5,2.8772684574127196
gameweek,2.8694005489349363
visita_tarjetas_u5,2.86704683303833
visita_xgc_diff_u5,2.8649524688720702
visita_tiros_arco_u5_temp,2.850076150894165
visita_dg_cond_u5,2.8394266605377196
visita_pts_del_u5,2.8372778415679933
visita_gc_u5_temp,2.8310855627059937
local_elo_delta_u3,2.830503797531128
h2h_gf_local,2.825958585739136
local_sorpresa_u10,2.8245710849761965
visita_gc_u3,2.81015682220459
local_n_jugadores_u5,2.8095589160919188
local_tiros_arco_u5_temp,2.8052648067474366
visita_n_jugadores_u3,2.803428888320923
local_mins_hhi,2.782834196090698
local_pts_arq_u5,2.7826109886169434
local_pts_def_u5,2.763008403778076
visita_dias_descanso,2.7530535221099854
visita_partidos_21d,2.745240831375122
local_sorpresa_u5,2.7336378574371336
visita_xg_u5,2.733487367630005
visita_elo_delta_u10,2.72944712638855
h2h_cond_pts_local,2.7284817695617676
local_racha,2.716816520690918
visita_pts_cond_u5,2.700596809387207
local_gc_u3,2.6973715305328367
visita_pts_u3,2.6946858406066894
local_pts_med_u5,2.6929044246673586
visita_pj_camp,2.682263135910034
visita_tiros_arco_u5,2.68078236579895
visita_racha,2.677566146850586
visita_gc_u5,2.6732726812362673
visita_gf_cond_u5,2.67301983833313
visita_gf_u3,2.6688160419464113
h2h_cond_gf_local,2.6608080863952637
visita_pts_camp,2.638798141479492
local_xg_diff_u5,2.633782958984375
local_tiros_arco_conc_u5,2.5938926696777345
local_gc_u5_temp,2.5795250415802
visita_gc_camp,2.5702021598815916
local_faltas_u5,2.553818130493164
visita_elo_delta_u3,2.5275387287139894
local_pts_u3,2.4964880466461183
visita_pts_u5_temp,2.480564260482788
local_partidos_21d,2.4458557844161986
local_tarjetas_u5,2.397977685928345
visita_n_jugadores_u5,2.3953125715255736
visita_faltas_u5,2.340045428276062
dif_n_hist,2.2476100444793703
local_partidos_14d,2.2237899780273436
h2h_n,1.8104744911193849
local_gf_u3,1.7597648620605468
local_partidos_7d,1.5442891597747803
visita_partidos_7d,1.4648465871810914
h2h_cond_n,1.087394905090332
