feature,ganancia
dif_elo,13.301258277893066
dif_pos_tabla_camp,11.561481094360351
fdr_dif,10.805681228637695
dif_ppp_camp,10.064502906799316
dif_pts_camp,8.39516487121582
fdr_visita,7.213365650177002
local_es_ascendido,5.35211410522461
local_xg_cond_u5,5.155608463287353
local_elo,4.721703720092774
local_pos_tabla_camp,4.59510760307312
local_ppp_camp,4.463742446899414
h2h_pts_visita,4.127477550506592
fdr_local,3.9916883945465087
local_xg_u5,3.9463672161102297
visita_gf_u5_temp,3.9266308784484862
visita_es_ascendido,3.9054418087005613
local_pts_u5,3.8946231842041015
visita_pts_u5,3.8028271198272705
visita_xgc_u3,3.7784510612487794
local_gf_u5,3.7637654304504395
local_corners_u5,3.6073498725891113
visita_tiros_arco_conc_u5,3.5521257877349854
visita_tiros_conc_u5,3.533615255355835
local_corners_u3,3.4483246326446535
dif_n_hist,3.44399356842041
dif_xgc_u5,3.4286062240600588
local_tiros_u3,3.3797282695770265
local_xg_u3,3.3549124240875243
visita_tiros_u3,3.3491766929626463
local_tiros_u5,3.319811487197876
local_xg_u5_temp,3.294802713394165
local_xgc_diff_u5,3.2616052627563477
h2h_pts_local,3.2477834224700928
visita_xa_u3,3.239724636077881
visita_dg_camp,3.216235303878784
local_xa_u3,3.213067054748535
visita_xgc_cond_u5,3.197020673751831
local_tiros_arco_u3,3.1922260761260985
visita_xgc_u5_temp,3.1827648162841795
local_xgc_cond_u5,3.17696590423584
visita_ppp_camp,3.171459674835205
visita_xa_u5,3.141066074371338
visita_xgc_u5,3.140067291259766
visita_gf_u5,3.137786626815796
visita_pts_def_u5,3.1354984760284426
visita_tiros_u5,3.122526979446411
local_gc_u5,3.120316743850708
local_gf_u5_temp,3.1183698177337646
visita_xg_u3,3.1139779567718504
dif_xg_u5,3.1112798690795898
visita_elo,3.1077929019927977
gameweek,3.097247767448425
local_elo_delta_u10,3.0972385883331297
visita_gc_cond_u5,3.087377738952637
visita_pts_med_u5_temp,3.0597321510314943
local_tiros_conc_u5,3.0581547260284423
h2h_gc_local,3.0453667640686035
visita_xg_cond_u5,3.045036220550537
local_xa_u5,3.040610933303833
h2h_cond_gc_local,3.038696622848511
dif_pts_def_u5,3.030402660369873
local_pts_cond_u5,3.0132415294647217
local_pts_def_u5_temp,3.0113334178924562
dif_pts_med_u5,2.996687984466553
visita_tarjetas_u3,2.991836166381836
visita_pts_med_u3,2.9834441184997558
visita_pts_def_u5_temp,2.981828784942627
dif_gc_u5,2.9692155838012697
visita_xg_diff_u5,2.964329385757446
visita_pts_arq_u5,2.961234378814697
local_pts_camp,2.9353516578674315
dif_pts_u5,2.9236435413360597
dif_dias_descanso,2.9118753910064696
local_dg_camp,2.909550142288208
visita_tiros_arco_u3,2.9082851886749266
visita_sorpresa_u10,2.897131395339966
visita_gf_u3,2.892792797088623
visita_tarjetas_u5,2.8581701278686524
local_gf_camp,2.8498662948608398
local_dias_descanso,2.8448904037475584
visita_mins_hhi,2.8433332443237305
local_pts_del_u3,2.841774654388428
local_pts_med_u3,2.8214719772338865
local_gf_cond_u5,2.8149211406707764
visita_faltas_u3,2.807483673095703
visita_continuidad_plantel_u5,2.7917571544647215
visita_pts_u5_temp,2.791704797744751
visita_pts_med_u5,2.790211534500122
local_pts_med_u5,2.7898512840270997
visita_xg_u5,2.7878875732421875
visita_partidos_14d,2.775706386566162
h2h_cond_pts_local,2.7711008071899412
dif_sorpresa_u10,2.76849160194397
local_mins_hhi,2.765169286727905
visita_n_jugadores_u5,2.76351113319397
local_gc_camp,2.7562100172042845
visita_sorpresa_u5,2.752615451812744
local_tarjetas_u3,2.7472908973693846
visita_xgc_diff_u5,2.7448198795318604
local_xgc_u3,2.7444308280944822
visita_gf_cond_u5,2.7399454593658445
visita_elo_delta_u10,2.7342334747314454
visita_corners_u5,2.732902765274048
local_pts_del_u5,2.7284409046173095
local_tiros_arco_u5,2.725627326965332
visita_tiros_arco_u5_temp,2.7198893547058107
visita_dias_descanso,2.7145084857940676
local_continuidad_plantel_u5,2.6992772102355955
visita_pos_tabla_camp,2.6954351902008056
local_pts_u3,2.689967179298401
visita_xg_u5_temp,2.687244749069214
local_faltas_u3,2.67944598197937
dif_elo_delta_u5,2.6605165004730225
local_gc_u5_temp,2.6320834159851074
local_pts_def_u5,2.6168325901031495
visita_pts_def_u3,2.6114183902740478
local_faltas_u5,2.600351095199585
local_elo_delta_u5,2.590311288833618
visita_elo_delta_u5,2.585841655731201
visita_pts_cond_u5,2.5834548473358154
dif_racha,2.574923515319824
local_dg_cond_u5,2.5689510345458983
local_xgc_u5,2.556326961517334
local_tiros_arco_conc_u5,2.5542612075805664
h2h_cond_gf_local,2.5536141872406004
local_pts_arq_u3,2.551268529891968
visita_gc_camp,2.540381669998169
h2h_cond_pts_visita,2.515409326553345
visita_faltas_u5,2.5099270343780518
visita_pts_del_u5,2.502698469161987
visita_dg_cond_u5,2.501384210586548
